"new_countryid"	"new_name"	"new_iso"
"fb80945e-0ea8-e711-80e5-3863bb35af60"	"Belgium"	"BE"
"b0b33365-0ea8-e711-80e5-3863bb35af60"	"France"	"FR"
"3b71bd6b-0ea8-e711-80e5-3863bb35af60"	"Germany"	"DE"
"981cc177-0ea8-e711-80e5-3863bb35af60"	"United Kingdom"	"UK"
"201dc177-0ea8-e711-80e5-3863bb35af60"	"Italy"	"IT"
"8111a37e-0ea8-e711-80e5-3863bb35af60"	"Spain"	"ES"
"e1bc9090-0ea8-e711-80e5-3863bb35af60"	"Portugal"	"P"
